"Id","Title","Price","CPU_Brand","CPU_Type","CPU_Speed","CPU_Cores","GPU","RAM in GB","Hard Drive / Type","Hard Drive / Capacity (GB)"
"900437"," Vostro 5581 Intel Core I3 8145U 4M Cache 3 90 Ghz 4Gb 1X4Gb 2666Mhz R7N8M","347.66","Intel","Core i3","2.1GHz","Dual-Core","Intel UHD Graphics 620","4","SSD","128"
"900442"," Dell Latitude 5400 Core I5 8265U 1 6 Ghz Win Mny9F","689.99","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"900443"," Dell Latitude 7300 Core I5 8265U 1 6 Ghz Win Jd9Kr","913.95","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"900444"," Dell Latitude 7400 Core I5 8265U 1 6 Ghz Win D4Gky","874.99","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"900445"," Dell Latitude 5500 Core I5 8265U 1 6 Ghz Win 0Pgp0","699.98","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"900448"," Dell Xps 13 9380 Core I7 8565U 1 8 Ghz 38Tdd","974.19","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"900628"," Lenovo Thinkpad E495 20Ne Ryzen 5 3500U 2 1 Ghz 20Ne000Juk","541.65","AMD","Ryzen 5","2.1GHz","Quad-Core","AMD Radeon Vega 8","8","SSD","256"
"900668"," Asus Rog Strix Scar Iii Intel I9 9980Hk 32Gb 1Tb Ssd Rtx 2070 G731Gw H6158R","2374.98","Intel","Core i9",,"8-core","NVIDIA GeForce RTX 2070 / Intel UHD Graphics 630","32","SSD","1000"
"900669"," Asus Tuf Fx505Dv 15 6 Ryzen Gaming Laptop Fx505Dv Al014T","874.98","AMD","Ryzen 7","2.3GHz","Quad-Core","NVIDIA GeForce RTX 2060 / AMD Radeon RX Vega 10","16","SSD","512"
"900670"," Asus Rog Strix Scar Iii Intel I7 9750H 16Gb 1Tb Ssd Rtx 2070 G731Gw H6157T","1829.14","Intel","Core i7","2.6GHz","6-core","NVIDIA GeForce RTX 2070 / Intel UHD Graphics 630","16","SSD","1000"
"900674"," Asus Rog Zephyrus S Intel I7 9750H 32Gb 1Tb Ssd Rtx 2080 17 3 Gx701Gxr H6077T","2774.59","Intel","Core i7",,"6-core","NVIDIA GeForce RTX 2080","32","SSD","1000"
"900684"," Asus X409Fa Ek149T Core I7 8Gb 256Gb Ssd 14 Win10 Home Laptop X409Fa Ek149T","440.82","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"900685"," Asus X509Fa Ej077T Core I5 8Gb 256Gb Ssd 15 6 Win10 Home Laptop X509Fa Ej077T","349.98","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"900686"," Asus X509Fa Ej079T Core I7 8Gb 256Gb Ssd 15 6 Win10 Home Laptop X509Fa Ej079T","440.82","Intel","Core i7","1.8 GHz",,"Intel HD Graphics 620","8","SSD","256"
"900688"," Asus X409Ua Ek035T Core I3 4Gb 256Gb Ssd 14 Win10 Home Laptop X409Ua Ek035T","274.98","Intel","Core i3","2.3GHz","Dual-Core","Intel HD Graphics 620","4","SSD","256"
"900691"," Asus Zenbook 14 Ux434 Core I5 8Gb 256Gb Ssd Mx250 14 Win10 Ux434Fl Ai062T","932.48","Intel","Core i5","1.6GHz","Quad-Core","NVIDIA GeForce MX250 / Intel UHD Graphics 620","8","SSD","256"
"900693"," Asus X409Fa Ek034T Core I5 8Gb 256Gb Ssd 14 Win10 Home Laptop X409Fa Ek034T","357.50","Intel","Core i5","1.6GHz","Quad-Core","Intel HD Graphics 620","8","SSD","256"
"901472"," Msi Gf75 Thin Core I5 9300H 8Gb 256Gb Gtx 1650 17 3 Win10 Home 9S7 17F212 252","885.15","Intel","Core i5","2.4 GHz","4 Cores","NVIDIA GeForce GTX 1650","8","SSD","256"
"901522"," L490 I7 8565U 16Gb 512Gb W10P 14 20Q500E0Uk","879.50","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","16","SSD","512"
"901525"," L590 I7 8565U 8Gb 256Gb W10P 15 6 20Q7001Fuk","791.64","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"901526"," L590 I7 8565U 16Gb 512Gb W10P 15 6 20Q700Aluk","882.88","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","16","SSD","512"
"901527"," L590 I5 8265U 8Gb 256Gb W10P 15 6 20Q7000Yuk","677.98","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"901529"," V130 14Ikb I5 8250U 4Gb 256Gb W10P 14 81Hq00Lguk","454.14","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"901530"," Lenovo V130 I5 8250U 8Gb 256Gb Ssd 15 6 Windows 10 Home Laptop 81Hn00Xluk","374.61","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"901531"," T495S Ryzen 5 Pro 16Gb 256Gb W10P 14 20Qj000Cuk","983.71","AMD","Ryzen 5 Pro","2.1GHz","Quad-Core","AMD Radeon Vega 10","16","SSD","256"
"901534"," L490 I7 8565U 8Gb 256Gb W10P 14 20Q50021Uk","751.65","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","8","SSD","256"
"901536"," X1 Yoga 4Th Gen I5 8265U 16Gb 256Gb W10P 20Qf00Afuk","1492.48","Intel","Core i5","1.6GHz","Quad-Core","Intel UHD Graphics 620","16","SSD","256"
"901537"," X395 T Ryzen 5 Pro 16Gb 256Gb W10P 13 3 20Nl001Huk","949.98","AMD","Ryzen 5 Pro","2.1GHz","Quad-Core","AMD Radeon Vega 8","16","SSD","256"
"901538"," Lenovo X1 Yoga 4Th Gen Core I7 8565U 16Gb 512Gb Ssd 14 Win10 20Qf00Aduk","1764.14","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","16","SSD","512"
"901539"," X1 Carbon 7 Gen I7 8565U 16Gb 512Gb W10P 20Qd00L1Uk","1539.15","Intel","Core i7","1.8GHz","Quad-Core","Intel UHD Graphics 620","16","SSD","512"
